"filename", "language", "JSON", "JavaScript", "HTML", "Markdown", "JavaScript JSX", "PostCSS", "JSON with Comments", "XML", "comment", "blank", "total"
"d:\Matteo\Desktop\Progetti\scaletta\src\components\projects\index.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\Matteo\Desktop\Progetti\scaletta\src\components\pwa\InstallModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 99, 0, 0, 0, 8, 8, 115
"d:\Matteo\Desktop\Progetti\scaletta\src\components\pwa\index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Matteo\Desktop\Progetti\scaletta\src\components\ui\Badge.jsx", "JavaScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 7, 3, 31
"d:\Matteo\Desktop\Progetti\scaletta\src\components\ui\Button.jsx", "JavaScript JSX", 0, 0, 0, 0, 49, 0, 0, 0, 1, 7, 57
"d:\Matteo\Desktop\Progetti\scaletta\src\components\ui\ColorPicker.jsx", "JavaScript JSX", 0, 0, 0, 0, 66, 0, 0, 0, 9, 11, 86
"d:\Matteo\Desktop\Progetti\scaletta\src\components\ui\CopyableInfoBox.jsx", "JavaScript JSX", 0, 0, 0, 0, 100, 0, 0, 0, 10, 8, 118
"d:\Matteo\Desktop\Progetti\scaletta\src\components\ui\DangerButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 64, 0, 0, 0, 13, 8, 85
"d:\Matteo\Desktop\Progetti\scaletta\src\components\ui\Divider.jsx", "JavaScript JSX", 0, 0, 0, 0, 14, 0, 0, 0, 7, 3, 24
"d:\Matteo\Desktop\Progetti\scaletta\src\components\ui\DropdownMenu.jsx", "JavaScript JSX", 0, 0, 0, 0, 167, 0, 0, 0, 19, 16, 202
"d:\Matteo\Desktop\Progetti\scaletta\src\components\ui\EditableInfoBox.jsx", "JavaScript JSX", 0, 0, 0, 0, 88, 0, 0, 0, 11, 6, 105
"d:\Matteo\Desktop\Progetti\scaletta\src\components\ui\InfoBox.jsx", "JavaScript JSX", 0, 0, 0, 0, 74, 0, 0, 0, 8, 5, 87
"d:\Matteo\Desktop\Progetti\scaletta\src\components\ui\Input.jsx", "JavaScript JSX", 0, 0, 0, 0, 29, 0, 0, 0, 0, 4, 33
"d:\Matteo\Desktop\Progetti\scaletta\src\components\ui\MemberPillList.jsx", "JavaScript JSX", 0, 0, 0, 0, 108, 0, 0, 0, 11, 14, 133
"d:\Matteo\Desktop\Progetti\scaletta\src\components\ui\NotificationToggle.jsx", "JavaScript JSX", 0, 0, 0, 0, 129, 0, 0, 0, 13, 15, 157
"d:\Matteo\Desktop\Progetti\scaletta\src\components\ui\PasswordInput.jsx", "JavaScript JSX", 0, 0, 0, 0, 45, 0, 0, 0, 0, 5, 50
"d:\Matteo\Desktop\Progetti\scaletta\src\components\ui\ProjectColorPicker.jsx", "JavaScript JSX", 0, 0, 0, 0, 69, 0, 0, 0, 13, 9, 91
"d:\Matteo\Desktop\Progetti\scaletta\src\components\ui\Spinner.jsx", "JavaScript JSX", 0, 0, 0, 0, 14, 0, 0, 0, 0, 4, 18
"d:\Matteo\Desktop\Progetti\scaletta\src\components\ui\StatusSlider.jsx", "JavaScript JSX", 0, 0, 0, 0, 122, 0, 0, 0, 20, 13, 155
"d:\Matteo\Desktop\Progetti\scaletta\src\components\ui\ThemeSelector.jsx", "JavaScript JSX", 0, 0, 0, 0, 15, 0, 0, 0, 4, 3, 22
"d:\Matteo\Desktop\Progetti\scaletta\src\components\ui\ThemeSwitcher.jsx", "JavaScript JSX", 0, 0, 0, 0, 29, 0, 0, 0, 3, 4, 36
"d:\Matteo\Desktop\Progetti\scaletta\src\components\ui\index.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 1, 19
"d:\Matteo\Desktop\Progetti\scaletta\src\contexts\AuthContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 39, 0, 0, 0, 2, 7, 48
"d:\Matteo\Desktop\Progetti\scaletta\src\contexts\ModalContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 126, 0, 0, 0, 16, 15, 157
"d:\Matteo\Desktop\Progetti\scaletta\src\contexts\ThemeContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 152, 0, 0, 0, 19, 18, 189
"d:\Matteo\Desktop\Progetti\scaletta\src\hooks\useBentoAnimation.js", "JavaScript", 0, 281, 0, 0, 0, 0, 0, 0, 67, 68, 416
"d:\Matteo\Desktop\Progetti\scaletta\src\hooks\useColumnCount.js", "JavaScript", 0, 34, 0, 0, 0, 0, 0, 0, 22, 12, 68
"d:\Matteo\Desktop\Progetti\scaletta\src\hooks\useIsMobile.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"d:\Matteo\Desktop\Progetti\scaletta\src\hooks\useKeyboardHeight.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 6, 21
"d:\Matteo\Desktop\Progetti\scaletta\src\hooks\usePWAInstall.js", "JavaScript", 0, 78, 0, 0, 0, 0, 0, 0, 12, 15, 105
"d:\Matteo\Desktop\Progetti\scaletta\src\index.css", "PostCSS", 0, 0, 0, 0, 0, 184, 0, 0, 25, 42, 251
"d:\Matteo\Desktop\Progetti\scaletta\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
"d:\Matteo\Desktop\Progetti\scaletta\src\pages\Dashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 171, 0, 0, 0, 18, 18, 207
"d:\Matteo\Desktop\Progetti\scaletta\src\pages\LoadingPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 0, 3, 12
"d:\Matteo\Desktop\Progetti\scaletta\src\pages\ProjectPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 1113, 0, 0, 0, 158, 115, 1386
"d:\Matteo\Desktop\Progetti\scaletta\src\pages\WelcomePage.jsx", "JavaScript JSX", 0, 0, 0, 0, 124, 0, 0, 0, 5, 7, 136
"d:\Matteo\Desktop\Progetti\scaletta\src\pages\index.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\Matteo\Desktop\Progetti\scaletta\src\services\auth.js", "JavaScript", 0, 35, 0, 0, 0, 0, 0, 0, 0, 8, 43
"d:\Matteo\Desktop\Progetti\scaletta\src\services\config.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 4, 15
"d:\Matteo\Desktop\Progetti\scaletta\src\services\files.js", "JavaScript", 0, 199, 0, 0, 0, 0, 0, 0, 67, 24, 290
"d:\Matteo\Desktop\Progetti\scaletta\src\services\groups.js", "JavaScript", 0, 202, 0, 0, 0, 0, 0, 0, 71, 48, 321
